child,parent,colour,sex,dob
FT CH SHERRY OF BITEABOUT,FT CH SANDRINGHAM SYDNEY,?,Female,01 January 0001
FT CH CH CREEDYPARK DIGGER,FT CH SANDRINGHAM SYDNEY,?,Male,01 January 0001
FT CH GLENFARG SKID,FT CH SHERRY OF BITEABOUT,?,Male,01 January 0001
FT CH HIWOOD DIPPER,FT CH CH CREEDYPARK DIGGER,?,Male,01 January 0001
FT CH EYEBROOK RORY,WELSTON ROOK,?,Male,01 January 0001
EYEBROOK JOSEPHINE,FT CH EYEBROOK RORY,?,Female,01 January 0001
ROUSER OF ESSENDENE,FT CH EYEBROOK RORY,?,Male,01 January 0001
FT CH SENDHURST SWEEP,EYEBROOK JOSEPHINE,?,Male,01 January 0001
DACRE AVENHAM FLICK,EYEBROOK JOSEPHINE,?,Female,01 January 0001
FT CH CORNBURY REGENT,ROUSER OF ESSENDENE,?,Male,01 January 0001
THEKLA OF MANSERGH,ROUSER OF ESSENDENE,?,Female,01 January 0001
INCA OF RABIZER,BEACHCOMBER BOY,?,Female,28 June 1979
MIRSTAN EROS,BEACHCOMBER BOY,?,Male,21 July 1980
FT CH DRAKESHEAD TINKER,INCA OF RABIZER,?,Male,01 January 0001
FT CH SWINBROOK TAN,FT CH DRAKESHEAD TINKER,?,Male,01 January 0001
DIPPER OF DRAKESHEAD,FT CH DRAKESHEAD TINKER,BLACK,Female,27 August 1971
FT CH SENDHURST SWEEP,DIPPER OF DRAKESHEAD,?,Male,01 January 0001
MIRSTAN SEA BISCUIT,MIRSTAN EROS,?,Female,01 May 1977
FT CH SPUDTAMSONS BERRY OF MIRSTAN,MIRSTAN EROS,?,Male,01 January 0001
TIBEA TEAL OF MIRSTAN,MIRSTAN SEA BISCUIT,BLACK,Female,10 April 1975
MIRSTAN SEA HAWK,MIRSTAN SEA BISCUIT,?,Male,01 January 0001
FT CH ODAY ALICE OF TIBEA,TIBEA TEAL OF MIRSTAN,BLACK,Female,14 August 1971
FT CH BERRYSTEAD GLENBRUAR BEAU,TIBEA TEAL OF MIRSTAN,?,Male,01 January 0001
FT CH PALGRAVE EDWARD,FT CH ODAY ALICE OF TIBEA,?,Male,01 January 0001
BEINNMHOR TERM,FT CH ODAY ALICE OF TIBEA,?,Female,01 January 0001
FT CH CORNBURY RURO TEAL,BEINNMHOR TERM,?,Female,01 January 0001
BEINNMHOR VENOM,BEINNMHOR TERM,?,Male,01 January 0001
FT CH STRATTONLEY PLOVER,FT CH BERRYSTEAD GLENBRUAR BEAU,?,Female,01 January 0001
BERRYSTEAD FENFARM BARLEY,FT CH BERRYSTEAD GLENBRUAR BEAU,?,Male,01 January 0001
FT CH CH CREEDYPARK DIGGER,BERRYSTEAD FENFARM BARLEY,?,Male,01 January 0001
SPRINGLODGE SPANGLES,MIRSTAN SEA HAWK,?,Female,01 January 0001
SANDRINGHAM SAILOR,MIRSTAN SEA HAWK,?,Male,01 January 0001
GLENFARG TIPLER,SPRINGLODGE SPANGLES,?,Male,01 January 0001
FT CH SENDHURST ZELSTONE TINKER,SANDRINGHAM SAILOR,?,Male,01 January 0001
LITTLE MO,SANDRINGHAM SAILOR,?,Female,01 January 0001
SPUDTAMSONS STRONG RUNNER,FT CH SPUDTAMSONS BERRY OF MIRSTAN,?,Female,01 January 0001
FT CH GLENFARG DANTE,FT CH SPUDTAMSONS BERRY OF MIRSTAN,?,Male,01 January 0001
SPUDTAMSONS ISABELL,SPUDTAMSONS STRONG RUNNER,?,Female,01 January 0001
FT CH GLENFARG SKID,SPUDTAMSONS ISABELL,?,Male,01 January 0001
FT CH HIWOOD DIPPER,FT CH GLENFARG DANTE,?,Male,01 January 0001
GLENCOIN DAFFODIL,FT CH GLENCOIN DRUMMER OF DRAKESHEAD,YELLOW,Female,24 April 1976
DRAKESHEAD TASKER,FT CH GLENCOIN DRUMMER OF DRAKESHEAD,YELLOW,Male,20 February 1975
GLENCOIN ROSEMARY,GLENCOIN DAFFODIL,BLACK,Female,27 April 1970
FT CH WESTEAD SHOT OF DRAKESHEAD,GLENCOIN DAFFODIL,BLACK,Male,26 July 1974
GLENCOIN BRAEROY RUE,GLENCOIN ROSEMARY,?,Female,01 January 0001
CH REANACRE TWISTER,GLENCOIN ROSEMARY,?,Male,01 January 0001
REANACRE COPPERHILL CHARM,CH REANACRE TWISTER,?,Female,01 January 0001
CH REANACRE MALLARDHURN THUNDER,CH REANACRE TWISTER,?,Male,01 January 0001
FT CH SWINBROOK TAN,FT CH WESTEAD SHOT OF DRAKESHEAD,?,Male,01 January 0001
ANGELTOWNS CHALCEDORY DONA,FT CH WESTEAD SHOT OF DRAKESHEAD,BLACK,Female,21 May 1970
FT CH SENDHURST SWEEP,ANGELTOWNS CHALCEDORY DONA,?,Male,01 January 0001
LITTLE ANGEL,ANGELTOWNS CHALCEDORY DONA,?,Female,01 January 0001
FT CH GREATFORD PARK,LITTLE ANGEL,?,Male,01 January 0001
FT CH SWINBROOK TAN,DRAKESHEAD TASKER,?,Male,01 January 0001
DIPPER OF DRAKESHEAD,DRAKESHEAD TASKER,BLACK,Female,27 August 1971
IR FT CH ANN OF CLEARY,IR FT CH WILD SHOT DAN,?,Female,02 April 1979
FT CH BLACKHARN JONTY,IR FT CH WILD SHOT DAN,BLACK,Male,12 May 1979
DERRAMORE THATCH,IR FT CH ANN OF CLEARY,?,Female,08 July 1976
FT CH LEACROSS RINKALS,IR FT CH ANN OF CLEARY,BLACK,Male,26 March 1976
FT CH SWINBROOK TAN,FT CH BLACKHARN JONTY,?,Male,01 January 0001
BLACKHARN PUDDIE,FT CH BLACKHARN JONTY,BLACK,Female,24 August 1973
FT CH SANDRINGHAM SYDNEY,BLACKHARN PUDDIE,YELLOW,Male,14 May 1970
KILWARICK TESSA,ANNSFIELD BOY,BLACK,Female,05 May 1983
MONCARA PRINCE,ANNSFIELD BOY,BLACK,Male,24 June 1986
FT CH MALLARDHURN BLACK ACE,KILWARICK TESSA,BLACK,Female,25 August 1976
GLENTYMEN ZORRO,KILWARICK TESSA,BLACK,Male,15 May 1977
MALLARDHURN FAY,FT CH MALLARDHURN BLACK ACE,?,Female,01 January 0001
CH LAWNWOODS FAME AND FORTUNE,MALLARDHURN FAY,?,Male,01 January 0001
SPINNEYHILL LILAC OF LAWNWOOD,CH LAWNWOODS FAME AND FORTUNE,?,Female,01 January 0001
ROCKABEE TOBIN,CH LAWNWOODS FAME AND FORTUNE,?,Male,01 January 0001
ROCKABEE CORNBUNTING,ROCKABEE TOBIN,?,Female,01 January 0001
CH SANDYLANDS TANDY,ROCKABEE TOBIN,?,Male,01 January 0001
SANDYLANDS SHADOW,CH SANDYLANDS TANDY,?,Female,01 January 0001
FT CH SWINBROOK TAN,GLENTYMEN ZORRO,?,Male,01 January 0001
JULIE OF GLENTYMEN,GLENTYMEN ZORRO,BLACK,Female,24 February 1975
FT CH SANDRINGHAM SYDNEY,JULIE OF GLENTYMEN,YELLOW,Male,14 May 1970
FT CH LUGWARDINE JADE,JULIE OF GLENTYMEN,?,Female,01 January 0001
FT CH HOLDGATE VESTA,FT CH LUGWARDINE JADE,?,Female,01 January 0001
JERICO ROCKET,FT CH LUGWARDINE JADE,?,Male,01 January 0001
MEADOW DAISY,MONCARA PRINCE,?,Female,16 April 1980
DELAMONT PRINCE,MONCARA PRINCE,?,Male,11 July 1980
DRUMFARRAM DELICE,MEADOW DAISY,?,Female,29 December 1977
KONOBOLY POT BLACK,MEADOW DAISY,?,Male,01 January 0001
FT CH DERRYBOY DANIEL,DRUMFARRAM DELICE,BLACK,Male,26 June 1973
KONOBOLY JOLLY DEE,KONOBOLY POT BLACK,BLACK,Female,09 February 1972
NICE FELLA OF BLAIRCOURT,KONOBOLY POT BLACK,?,Male,01 January 0001
KONOBOLY ADELE,KONOBOLY JOLLY DEE,?,Female,01 January 0001
CH COOKRIDGE CORMORANT,KONOBOLY JOLLY DEE,?,Male,01 January 0001
KONOBOLY SANDYLANDS TELL TALE,KONOBOLY ADELE,?,Female,01 January 0001
CH WANDERER OF BLAIRCOURT,KONOBOLY ADELE,?,Male,01 January 0001
COOKRIDGE OLGA,CH COOKRIDGE CORMORANT,?,Female,01 January 0001
CH WANDERER OF BLAIRCOURT,NICE FELLA OF BLAIRCOURT,?,Male,01 January 0001
GORSE OF BLAIRCOURT,NICE FELLA OF BLAIRCOURT,?,Female,01 January 0001
GLENLOCH TEAL,DELAMONT PRINCE,?,Female,01 January 0001
FT CH MEADOWBRAE WIDGEON,DELAMONT PRINCE,BLACK,Male,30 May 1974
IR FT CH BROADVILLE DUSKY (IMP),ERNEVALE ADMIRAL,BLACK,Female,06 April 1986
FT CH POCKLEA REMUS,ERNEVALE ADMIRAL,BLACK,Male,11 May 1986
FT CH LEACROSS RINKALS,IR FT CH BROADVILLE DUSKY (IMP),BLACK,Male,26 March 1976
IR FT CH DRAKESHEAD CONNIE,IR FT CH BROADVILLE DUSKY (IMP),?,Female,05 February 1979
FT CH DRAKESHEAD TINKER,IR FT CH DRAKESHEAD CONNIE,?,Male,01 January 0001
DERWENTSIDE SHADOW,IR FT CH DRAKESHEAD CONNIE,?,Female,01 January 0001
NEWGRANGE FERN,DERWENTSIDE SHADOW,?,Female,01 January 0001
CH SAM OF BITEABOUT,DERWENTSIDE SHADOW,BLACK,Male,17 March 1975
FT CH PALGRAVE EDWARD,NEWGRANGE FERN,?,Male,01 January 0001
JENSUEDEE JAY,NEWGRANGE FERN,?,Female,01 January 0001
RAMSHAW RIPPLE,JENSUEDEE JAY,?,Female,01 January 0001
JENSUEDEE BRETWOOD,JENSUEDEE JAY,?,Male,01 January 0001
FT.CH GLENFARG BRIGG,RAMSHAW RIPPLE,?,Male,01 January 0001
FT CH SANDRINGHAM SYDNEY,CH SAM OF BITEABOUT,YELLOW,Male,14 May 1970
SHILIK OF OAKLANDS,CH SAM OF BITEABOUT,BLACK,Female,21 April 1972
FT CH MYCUR MAGNUS,SHILIK OF OAKLANDS,?,Male,01 January 0001
DRAKESHEAD GYPSY,FT CH POCKLEA REMUS,BLACK,Female,24 March 1980
FT CH HARETOR MARK OF DRAKESHEAD,FT CH POCKLEA REMUS,BLACK,Male,04 August 1983
FT CH DRAKESHEAD ANNA,DRAKESHEAD GYPSY,BLACK,Female,18 April 1977
FT CH POCKLINGTON BEN,DRAKESHEAD GYPSY,BLACK,Male,01 June 1976
FT CH HOLDGATE WILLIE,FT CH DRAKESHEAD ANNA,BLACK,Male,06 June 1969
FT CH WESTEAD TAN OF DRAKESHEAD,FT CH DRAKESHEAD ANNA,BLACK,Female,26 July 1974
FT CH SWINBROOK TAN,FT CH WESTEAD TAN OF DRAKESHEAD,?,Male,01 January 0001
ANGELTOWNS CHALCEDORY DONA,FT CH WESTEAD TAN OF DRAKESHEAD,BLACK,Female,21 May 1970
FT CH SANDRINGHAM MAGPIE,FT CH POCKLINGTON BEN,BLACK,Female,08 April 1972
SWINBROOK MOSQUITO,FT CH POCKLINGTON BEN,BLACK,Male,19 April 1973
SANDRINGHAM PIPPIT,FT CH SANDRINGHAM MAGPIE,?,Female,01 January 0001
SANDRINGHAM SKID,FT CH SANDRINGHAM MAGPIE,?,Male,01 January 0001
FT CH CH CREEDYPARK DIGGER,SANDRINGHAM PIPPIT,?,Male,01 January 0001
FT CH GLENFARG SKID,SANDRINGHAM SKID,?,Male,01 January 0001
FT CH SWINBROOK TAN,SWINBROOK MOSQUITO,?,Male,01 January 0001
FT CH FT CH SWINBROOK BEATLE,SWINBROOK MOSQUITO,?,Female,01 January 0001
FT CH BERRYSTEAD BEE,FT CH FT CH SWINBROOK BEATLE,?,Female,01 January 0001
HARETOR EMMA,FT CH HARETOR MARK OF DRAKESHEAD,BLACK,Female,02 July 1981
FT CH BRENJON DIRK OF DRAKESHEAD,FT CH HARETOR MARK OF DRAKESHEAD,BLACK,Male,21 September 1978
HARETOR SMILER,HARETOR EMMA,?,Female,01 January 0001
FT CH SWIFT OF SWINBROOK,HARETOR EMMA,BLACK,Male,08 April 1974
HOODHILL TWEED OF HARETOR,HARETOR SMILER,?,Female,02 July 1977
LUGWARDINE JASPER,HARETOR SMILER,BLACK,Male,13 June 1968
FT CH SPUDTAMSONS BERRY OF MIRSTAN,HOODHILL TWEED OF HARETOR,?,Male,01 January 0001
HOODHILL MOFFAT,HOODHILL TWEED OF HARETOR,?,Female,01 January 0001
FT CH SWINBROOK TAN,HOODHILL MOFFAT,?,Male,01 January 0001
FT CH HOLDGATE VESTA,LUGWARDINE JASPER,?,Female,01 January 0001
JERICO ROCKET,LUGWARDINE JASPER,?,Male,01 January 0001
FT CH SWINBROOK TAN,FT CH SWIFT OF SWINBROOK,?,Male,01 January 0001
FT CH SPUDTAMSONS BERRY OF MIRSTAN,FT CH BRENJON DIRK OF DRAKESHEAD,?,Male,01 January 0001
FT CH DRAKESHEAD THORNE,FT CH BRENJON DIRK OF DRAKESHEAD,BLACK,Female,20 February 1975
FT CH SWINBROOK TAN,FT CH DRAKESHEAD THORNE,?,Male,01 January 0001
DIPPER OF DRAKESHEAD,FT CH DRAKESHEAD THORNE,BLACK,Female,27 August 1971
GLEN CURRY CARA,PETE'S GLEN,BLACK,Female,21 December 1993
FT CH PAUSU PINTAIL,PETE'S GLEN,BLACK,Male,10 June 1994
CARTARA BEAU,GLEN CURRY CARA,BLACK,Female,06 October 1988
ULSTARE MAGPIE,GLEN CURRY CARA,BLACK,Male,23 May 1992
ULSTARE DREAM,CARTARA BEAU,BLACK,Female,12 September 1982
DOWNSHIRE WHIRLWIND,CARTARA BEAU,YELLOW,Male,16 July 1985
TASCO MUSK,ULSTARE DREAM,BLACK,Female,15 May 1980
FT CH ULSTER SHANE,ULSTARE DREAM,FAWN WHITE PARTICOLOUR,Male,07 April 1971
FT CH HOLDGATE WILLIE,TASCO MUSK,BLACK,Male,06 June 1969
FT CH SWINBROOK BUMBLE,TASCO MUSK,BLACK,Female,19 April 1973
FT CH SWINBROOK TAN,FT CH SWINBROOK BUMBLE,?,Male,01 January 0001
SANDRINGHAM EIDER,FT CH SWINBROOK BUMBLE,?,Female,01 January 0001
SANDRINGHAM TILLY,SANDRINGHAM EIDER,?,Female,01 January 0001
HEDENHAM PARK MALLARD,SANDRINGHAM EIDER,?,Male,01 January 0001
TWISTER OF BITEABOUT,SANDRINGHAM TILLY,?,Male,01 January 0001
FT CH HEDENHAMPARK HOLCOT FAY,HEDENHAM PARK MALLARD,?,Female,01 January 0001
ROCKSTEAD FOOTSWISH,HEDENHAM PARK MALLARD,?,Male,01 January 0001
HOLCOT BRACKENBANK HEIDI,FT CH HEDENHAMPARK HOLCOT FAY,?,Female,01 January 0001
FT CH HALLINGBURY WILD DUCK,FT CH HEDENHAMPARK HOLCOT FAY,?,Male,01 January 0001
WHITBOURNE JET,ROCKSTEAD FOOTSWISH,?,Female,01 January 0001
SCOTNEY GINGER,ROCKSTEAD FOOTSWISH,?,Male,01 January 0001
BLACK DEMON,FT CH ULSTER SHANE,?,Female,01 January 0001
CH IR CH KINKY OF KEITHRAY,FT CH ULSTER SHANE,?,Male,01 January 0001
SH CH HOLLYBEAUT OF KEITHRAY,CH IR CH KINKY OF KEITHRAY,?,Female,01 January 0001
CH BALLYDUFF SEAMAN,CH IR CH KINKY OF KEITHRAY,?,Male,01 January 0001
DOWNSHIRE SANDPIPER,DOWNSHIRE WHIRLWIND,YELLOW,Female,18 November 1981
GOLD COIN OF KENWUNN,DOWNSHIRE WHIRLWIND,?,Male,01 January 0001
RHONA OF KENWUNN,DOWNSHIRE SANDPIPER,?,Female,01 January 0001
CAESARS IMAGE OF BLACK GOLD,DOWNSHIRE SANDPIPER,?,Male,01 January 0001
FT CH MEADOWBRAE WIDGEON,RHONA OF KENWUNN,BLACK,Male,30 May 1974
PAUL'S CHOICE,RHONA OF KENWUNN,?,Female,01 January 0001
LEAD-DAY JUNO,PAUL'S CHOICE,?,Female,01 January 0001
FIONN OF DOWN,PAUL'S CHOICE,?,Male,01 January 0001
BEIDLESTON BRIN,CAESARS IMAGE OF BLACK GOLD,?,Female,01 January 0001
FT CH BEINNMHOR TITHE,BEIDLESTON BRIN,?,Female,01 January 0001
BURNHATCH GAIRN,BEIDLESTON BRIN,?,Male,01 January 0001
FT CH CORNBURY RURO TEAL,FT CH BEINNMHOR TITHE,?,Female,01 January 0001
BEINNMHOR VENOM,FT CH BEINNMHOR TITHE,?,Male,01 January 0001
BURNHATCH COMPTONDENE SAM,BURNHATCH GAIRN,?,Male,01 January 0001
COMPTONDENE SONIA,BURNHATCH COMPTONDENE SAM,?,Female,01 January 0001
STRATTONLEY TINKER,BURNHATCH COMPTONDENE SAM,?,Male,01 January 0001
ORIANA WIDGEON,GOLD COIN OF KENWUNN,YELLOW,Female,07 March 1978
FT CH BRENJON ELTON OF CONMOUNT,GOLD COIN OF KENWUNN,?,Male,10 April 1979
FT CH MEADOWBRAE WIDGEON,ORIANA WIDGEON,BLACK,Male,30 May 1974
REDEMON LADY,ORIANA WIDGEON,?,Female,01 January 0001
DINA OF NORWOOD,REDEMON LADY,?,Female,01 January 0001
ULSTER CHANE,REDEMON LADY,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,FT CH BRENJON ELTON OF CONMOUNT,BLACK,Male,06 June 1969
FT CH DRAKESHEAD THORNE,FT CH BRENJON ELTON OF CONMOUNT,BLACK,Female,20 February 1975
ROXY OF ULSTARE,ULSTARE MAGPIE,BLACK,Female,17 February 1988
FT CH PALGRAVE QUIN,ULSTARE MAGPIE,BLACK,Male,08 March 1982
LEADBURN SHELL,ROXY OF ULSTARE,BLACK,Female,21 August 1986
FT CH BROADVILLE ADAM,ROXY OF ULSTARE,BLACK,Male,04 May 1983
HARETOR PIPPIT,LEADBURN SHELL,BLACK,Female,24 May 1982
FT CH GREENWOOD TIMOTHY OF HOLDGATE,LEADBURN SHELL,?,Male,24 March 1979
FT CH SWINBROOK TAN,HARETOR PIPPIT,?,Male,01 January 0001
TREHERNE SWALLOW OF HARETOR,HARETOR PIPPIT,?,Female,19 January 1978
FT CH SPUDTAMSONS BERRY OF MIRSTAN,TREHERNE SWALLOW OF HARETOR,?,Male,01 January 0001
TREHERNE FANTASY,TREHERNE SWALLOW OF HARETOR,?,Female,01 January 0001
TREHERNE THREEPEARS CANDYSPRITE,TREHERNE FANTASY,?,Female,01 January 0001
REANACRE ALVO,TREHERNE FANTASY,?,Male,01 January 0001
THREEPEARS CORNCANDY,TREHERNE THREEPEARS CANDYSPRITE,?,Female,01 January 0001
BUCKHOLD WOODSMAN,TREHERNE THREEPEARS CANDYSPRITE,?,Male,01 January 0001
REANACRE SPUDTAMSON SHONA,REANACRE ALVO,?,Female,01 January 0001
FT CH FT CH COPPICEWOOD BEN,REANACRE ALVO,?,Male,01 January 0001
JUNO OF CATLEE,FT CH FT CH COPPICEWOOD BEN,?,Female,01 January 0001
JERRY JASON,FT CH FT CH COPPICEWOOD BEN,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,FT CH GREENWOOD TIMOTHY OF HOLDGATE,BLACK,Male,06 June 1969
GREENWOOD DAINTY,FT CH GREENWOOD TIMOTHY OF HOLDGATE,?,Female,01 January 0001
FT CH SANDRINGHAM SYDNEY,GREENWOOD DAINTY,YELLOW,Male,14 May 1970
ZELSTONE GRIMLEY,GREENWOOD DAINTY,?,Female,01 January 0001
ZELSTONE FLYCATCHER,ZELSTONE GRIMLEY,?,Female,01 January 0001
CH BRAEDUKE JOYFUL,ZELSTONE GRIMLEY,YELLOW,Male,01 January 0001
FT CH HIWOOD DIPPER,ZELSTONE FLYCATCHER,?,Male,01 January 0001
FT CH LEACROSS RINKALS,FT CH BROADVILLE ADAM,BLACK,Male,26 March 1976
IR FT CH DRAKESHEAD CONNIE,FT CH BROADVILLE ADAM,?,Female,05 February 1979
FT CH PALGRAVE HOLLY,FT CH PALGRAVE QUIN,BLACK,Female,01 February 1976
FT CH SHOT OF PALGRAVE,FT CH PALGRAVE QUIN,BLACK,Male,26 May 1974
FT CH PALGRAVE SWINBROOK FERN,FT CH PALGRAVE HOLLY,?,Female,01 January 0001
EYEBROOK WILLOW,FT CH PALGRAVE HOLLY,BLACK,Male,15 June 1974
FT CH BEINNMHOR TIDE,FT CH PALGRAVE SWINBROOK FERN,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,FT CH PALGRAVE SWINBROOK FERN,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,EYEBROOK WILLOW,BLACK,Male,06 June 1969
EYEBROOK JOSEPHINE,EYEBROOK WILLOW,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,FT CH SHOT OF PALGRAVE,?,Male,01 January 0001
IVYLAND TESA,FT CH SHOT OF PALGRAVE,?,Female,01 January 0001
ROVING MONA,IVYLAND TESA,?,Female,01 January 0001
THE TEMPLE PARK OAK,IVYLAND TESA,?,Male,01 January 0001
FT CH CH CREEDYPARK DIGGER,THE TEMPLE PARK OAK,?,Male,01 January 0001
THE LADY LENSHINA,THE TEMPLE PARK OAK,?,Female,01 January 0001
FT CH POCKLEA REMUS,FT CH PAUSU PINTAIL,BLACK,Male,11 May 1986
MEGAN LACE OF PAUSU,FT CH PAUSU PINTAIL,BLACK,Female,31 August 1986
GRAND JADE OF WOODLEER,MEGAN LACE OF PAUSU,BLACK,Female,01 April 1982
FT CH BREEZE OF DRAKESHEAD,MEGAN LACE OF PAUSU,BLACK,Male,28 December 1981
BLACK NORTHERN BEAUTY,GRAND JADE OF WOODLEER,?,Female,20 June 1980
GRAND SOVEREIGN,GRAND JADE OF WOODLEER,?,Male,09 May 1977
